■ 성남시 아동수당 지원 가능 가맹점 ,,,,,,
,,,(2018년 7월 기준),,,
소재지,가맹점번호,가맹점명,세부주소,,,
성남시분당구,0010731826,이안패브릭,"경기 성남시 분당구 중앙공원로40번길 42,",,,
성남시분당구,0010752988,전주명가,경기  성남시  분당구  야탑동,,,
성남시분당구,0010764736,아이리스,"경기 성남시 분당구 돌마로 478,",,,
성남시분당구,0010771608,진익재치과의원,"경기 성남시 분당구 서현로210번길 16,",,,
성남시분당구,0010771657,분당조명,"경기 성남시 분당구 불정로 266,",,,
성남시분당구,0010771814,뜨락,경기 성남시 분당구 문정로148번길 6,,,
성남시분당구,0010802270,서울SD치과,"경기 성남시 분당구 미금로 44,",,,
성남시분당구,0010802288,안중진치과의원,경기  성남시  분당구  야탑동,,,
성남시분당구,0010806537,만초한의원,"경기 성남시 분당구 내정로 29,",,,
성남시분당구,0010836468,진도한우마을정육점,"경기 성남시 분당구 미금로 45,",,,
성남시분당구,0010837201,손오공나라,"경기 성남시 분당구 성남대로54번길 3,",,,
성남시분당구,0010850774,보문,"경기 성남시 분당구 중앙공원로 35,",,,
성남시분당구,0010877207,탁용준내과의원,경기 성남시 분당구 성남대로 926,,,
성남시분당구,0010888386,박상복치과의원,경기  성남시  분당구  서현동,,,
성남시분당구,0010897429,박진치과,경기 성남시 분당구 내정로 170,,,
성남시분당구,0010897635,차치과의원,경기 성남시 분당구 내정로 55,,,
성남시분당구,0010897767,한국비단,"경기 성남시 분당구 서현로 216,",,,
성남시분당구,0010913366,천지카써비스,경기 성남시 분당구 장안로16번길 26,,,
성남시분당구,0010913572,오한의원,"경기 성남시 분당구 돌마로 361,",,,
성남시분당구,0010913689,청정한의원,경기  성남시  분당구  구미동,,,
성남시분당구,0010965143,구미신경외과의원,경기 성남시 분당구 미금로 48,,,
성남시분당구,0010965150,아미정보통신,"경기 성남시 분당구 야탑남로146번길 5,",,,
성남시분당구,0011005873,황경애한의원,"경기 성남시 분당구 백현로101번길 20,",,,
성남시분당구,0011054616,연플러스아름치과의원,경기 성남시 분당구 판교로 434,,,
성남시분당구,0011054665,한미치과,"경기 성남시 분당구 이매로 51,",,,
성남시분당구,0011065307,한국카센타,"경기 성남시 분당구 돌마로486번길 40,",,,
성남시분당구,0011069069,서현자동차서비스(주),경기 성남시 분당구 새마을로 23,,,
성남시분당구,0011098670,현대플러스사무가구,경기 성남시 분당구 대왕판교로 353,,,
성남시분당구,0011099751,연세미치과,경기 성남시 분당구 불정로 255,,,
성남시분당구,0011118379,이봉원치과,"경기 성남시 분당구 느티로 73,",,,
성남시분당구,0011136199,홍안과의원,경기  성남시  분당구  야탑동,,,
성남시분당구,0011136280,이주철마취과의원,경기 성남시 분당구 내정로 29,,,
성남시분당구,0011142130,푸른소아과의원,"경기 성남시 분당구 미금로 48,",,,
성남시분당구,0011159969,궁전떡집,경기 성남시 분당구 불정로420번길 16,,,
성남시분당구,0011160124,이재민이비인후과의원,"경기 성남시 분당구 중앙공원로39번길 7,",,,
성남시분당구,0011161650,기쁨치과의원,"경기 성남시 분당구 양현로94번길 11,",,,
성남시분당구,0011180452,세신치과,"경기 성남시 분당구 야탑로 95,",,,
성남시분당구,0011180536,분당요리학원,"경기 성남시 분당구 야탑로69번길 21,",,,
성남시분당구,0011180759,이사랑치과,"경기 성남시 분당구 내정로166번길 7-3,",,,
성남시분당구,0011180973,한광선소아과,경기 성남시 분당구 야탑로 95,,,
성남시분당구,0011184553,우방치과의원,"경기 성남시 분당구 돌마로 73,",,,
성남시분당구,0011204542,먹보네칼국수,경기 성남시 분당구 장안로 31,,,
성남시분당구,0011206786,마스타성남정자1호점,경기 성남시 분당구 황새울로18번길 4,,,
성남시분당구,0011207750,김정규이비인후과,"경기 성남시 분당구 내정로 170,",,,
성남시분당구,0011209434,보경내과의원,"경기 성남시 분당구 내정로 170,",,,
성남시분당구,0011209665,전소아과의원,"경기 성남시 분당구 불정로 379,",,,
